date,label,lat,lon,n_det,n_near,rules,scene,score,secs,seg_score,status,subcat,wind
20200712,oil,5.8069,104.2843,4,0,[],S1A_IW_GRDH_1SDV_20200712T111840_20200712T111905_033421_03DF63,0.0,17.8,0.0,ok,Ships,
20160611,oil,0.4091,-90.9348,10,1,[],S1A_IW_GRDH_1SSV_20160611T001825_20160611T001837_011655_011D6F,0.626,8.2,0.626,ok,Ships,
20191207,oil,21.2639,91.4532,10,1,[],S1A_IW_GRDH_1SDV_20191207T234819_20191207T234844_030249_03754D,0.75,15.7,0.75,ok,Ships,
20170917,oil,31.8591,-9.6543,4,2,['R3_modest_contrast'],S1B_IW_GRDH_1SDV_20170917T063601_20170917T063626_007428_00D1C4,0.557,20.7,0.696,ok,Ships,
20191124,oil,33.3117,-9.0865,8,1,['R4_coastal'],S1A_IW_GRDH_1SDV_20191124T063643_20191124T063708_030049_036E66,0.518,17.3,0.74,ok,Ships,
20170826,oil,29.9305,-89.1616,10,1,['R4_coastal'],S1A_IW_GRDH_1SDV_20170826T000202_20170826T000227_018087_01E5F9,0.615,18.7,0.75,ok,Ships,
20181211,oil,-5.693,120.4279,5,2,['R4_coastal'],S1A_IW_GRDH_1SDV_20181211T213556_20181211T213621_024983_02C11C,0.75,17.7,0.75,ok,Ships,
20181210,oil,-19.467,-70.8117,10,1,['R4_coastal'],S1A_IW_GRDH_1SDV_20181210T231524_20181210T231549_024969_02C096,0.424,27.7,0.517,ok,Ships,
20190616,oil,23.1145,59.9505,10,1,['R4_coastal'],S1A_IW_GRDH_1SDV_20190616T140738_20190616T140803_027706_03209B,0.671,21.4,0.75,ok,Ships,
20170309,oil,42.7517,131.4072,10,1,[],S1B_IW_GRDH_1SDV_20170309T212132_20170309T212157_004637_008162,0.75,24.5,0.75,ok,Ships,
20170716,lookalike,53.9491,141.9452,10,1,['R3_weak_contrast'],S1B_IW_GRDH_1SDV_20170716T205353_20170716T205422_006518_00B75F,0.317,20.1,0.487,ok,lookalike,
20160924,lookalike,-7.9921,110.9681,,,,,,0.6,,no_scene,lookalike,
20180828,lookalike,28.7059,49.8928,10,1,[],S1A_IW_GRDH_1SDV_20180828T144221_20180828T144246_023448_028D63,0.714,17.3,0.714,ok,lookalike,
20200422,lookalike,41.3676,43.1239,10,1,[],S1B_IW_GRDH_1SDV_20200422T031608_20200422T031633_021251_028541,0.697,31.1,0.697,ok,lookalike,
20180722,lookalike,-7.9169,11.1144,10,1,['R4_coastal'],S1A_IW_GRDH_1SDV_20180722T045226_20180722T045251_022902_027BF1,0.472,19.7,0.576,ok,lookalike,
20161211,lookalike,20.4551,106.7073,10,1,['R4_coastal'],S1A_IW_GRDH_1SDV_20161211T225036_20161211T225101_014338_017395,0.671,25.0,0.75,ok,lookalike,
20180722,lookalike,-7.1295,11.8027,10,0,[],S1A_IW_GRDH_1SDV_20180722T045226_20180722T045251_022902_027BF1,0.0,11.5,0.0,ok,lookalike,
20171109,lookalike,26.4977,-96.1653,3,2,[],S1A_IW_GRDH_1SDV_20171109T002531_20171109T002556_019181_020777,0.737,15.0,0.737,ok,lookalike,
20180722,lookalike,-8.2311,12.3649,1,0,[],S1A_IW_GRDH_1SDV_20180722T045226_20180722T045251_022902_027BF1,0.0,4.2,0.0,ok,lookalike,
20200327,lookalike,42.4661,36.9927,10,3,"['R2_blob_shape', 'R3_modest_contrast', 'R4_coastal']",S1A_IW_GRDH_1SDV_20200327T152706_20200327T152731_031863_03AD7A,0.489,22.6,0.594,ok,lookalike,
