MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,VesselType,Status,Length,Width,synthetic
419000101,2025-03-13T17:15:00,18.66582,70.88675,11.8,335.5,335,SYN-TANKER-ALPHA,IMO9000001,80,0,316,36,True
419000101,2025-03-13T17:18:00,18.67359,70.88213,11.8,333.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,311,53,True
419000101,2025-03-13T17:21:00,18.68361,70.87789,12.1,336.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,263,23,True
419000101,2025-03-13T17:24:00,18.6924,70.87333,12.3,336.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,200,14,True
419000101,2025-03-13T17:27:00,18.70131,70.86899,12.1,333.5,335,SYN-TANKER-ALPHA,IMO9000001,80,0,176,36,True
419000101,2025-03-13T17:30:00,18.71061,70.8648,12.0,333.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,299,23,True
419000101,2025-03-13T17:33:00,18.71936,70.86072,11.8,337.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,326,30,True
419000101,2025-03-13T17:36:00,18.72845,70.85539,12.0,335.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,161,37,True
419000101,2025-03-13T17:39:00,18.73815,70.8511,12.1,336.2,335,SYN-TANKER-ALPHA,IMO9000001,80,0,305,19,True
419000101,2025-03-13T17:42:00,18.74665,70.84643,11.6,333.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,230,29,True
419000101,2025-03-13T17:45:00,18.75573,70.84281,11.9,334.7,335,SYN-TANKER-ALPHA,IMO9000001,80,0,114,27,True
419000101,2025-03-13T17:48:00,18.76508,70.83817,11.8,333.6,335,SYN-TANKER-ALPHA,IMO9000001,80,0,304,51,True
419000101,2025-03-13T17:51:00,18.77457,70.83368,11.8,332.2,335,SYN-TANKER-ALPHA,IMO9000001,80,0,174,29,True
419000101,2025-03-13T17:54:00,18.78307,70.82836,12.2,334.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,245,59,True
419000101,2025-03-13T17:57:00,18.79196,70.82487,12.0,336.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,162,24,True
419000101,2025-03-13T18:00:00,18.80096,70.81996,11.9,336.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,289,53,True
419000101,2025-03-13T18:03:00,18.80983,70.81559,12.1,334.7,335,SYN-TANKER-ALPHA,IMO9000001,80,0,216,57,True
419000101,2025-03-13T18:06:00,18.81903,70.81152,12.1,333.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,282,40,True
419000101,2025-03-13T18:09:00,18.82841,70.80703,11.9,334.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,221,39,True
419000101,2025-03-13T18:12:00,18.83742,70.80235,12.0,335.2,335,SYN-TANKER-ALPHA,IMO9000001,80,0,204,15,True
419000101,2025-03-13T18:15:00,18.84673,70.7977,11.7,333.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,170,28,True
419000101,2025-03-13T18:18:00,18.85548,70.79388,12.1,331.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,220,38,True
419000101,2025-03-13T18:21:00,18.86432,70.78875,11.7,338.6,335,SYN-TANKER-ALPHA,IMO9000001,80,0,207,34,True
419000101,2025-03-13T18:24:00,18.8738,70.78421,11.9,334.1,335,SYN-TANKER-ALPHA,IMO9000001,80,0,318,57,True
419000101,2025-03-13T18:27:00,18.88323,70.7811,12.2,336.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,247,43,True
419000101,2025-03-13T18:30:00,18.89159,70.77589,11.8,334.2,335,SYN-TANKER-ALPHA,IMO9000001,80,0,204,27,True
419000101,2025-03-13T18:33:00,18.89992,70.77132,11.8,335.5,335,SYN-TANKER-ALPHA,IMO9000001,80,0,238,43,True
419000101,2025-03-13T18:36:00,18.90965,70.76628,12.0,336.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,244,38,True
419000101,2025-03-13T18:39:00,18.91912,70.76226,12.2,334.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,303,49,True
419000101,2025-03-13T18:42:00,18.92756,70.75712,11.9,336.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,175,54,True
419000101,2025-03-13T18:45:00,18.93704,70.75267,12.1,334.6,335,SYN-TANKER-ALPHA,IMO9000001,80,0,210,19,True
419000101,2025-03-13T18:48:00,18.94531,70.7485,11.9,333.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,258,18,True
419000101,2025-03-13T18:51:00,18.95504,70.74334,12.5,332.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,289,44,True
419000101,2025-03-13T18:54:00,18.96398,70.73892,12.0,333.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,124,15,True
419000101,2025-03-13T18:57:00,18.97317,70.73511,12.3,334.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,150,22,True
419000101,2025-03-13T19:00:00,18.98169,70.73101,12.1,332.7,335,SYN-TANKER-ALPHA,IMO9000001,80,0,108,34,True
419000101,2025-03-13T19:03:00,18.99103,70.7262,12.2,331.5,335,SYN-TANKER-ALPHA,IMO9000001,80,0,145,40,True
419000101,2025-03-13T19:06:00,18.99984,70.72248,12.2,337.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,222,30,True
419000101,2025-03-13T19:09:00,19.00927,70.71665,12.0,336.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,184,58,True
419000101,2025-03-13T19:12:00,19.01781,70.71287,11.9,333.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,319,27,True
419000101,2025-03-13T19:15:00,19.02735,70.70827,12.0,334.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,203,55,True
419000101,2025-03-13T19:18:00,19.03618,70.70372,12.3,336.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,131,53,True
419000101,2025-03-13T19:21:00,19.0455,70.69937,11.9,335.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,210,36,True
419000101,2025-03-13T19:24:00,19.0541,70.6952,12.3,336.7,335,SYN-TANKER-ALPHA,IMO9000001,80,0,319,15,True
419000101,2025-03-13T19:27:00,19.06437,70.69028,12.1,334.2,335,SYN-TANKER-ALPHA,IMO9000001,80,0,318,37,True
419000101,2025-03-13T19:30:00,19.07256,70.68643,11.8,336.3,335,SYN-TANKER-ALPHA,IMO9000001,80,0,267,32,True
419000101,2025-03-13T19:33:00,19.0808,70.68117,11.6,334.0,335,SYN-TANKER-ALPHA,IMO9000001,80,0,222,28,True
419000101,2025-03-13T19:36:00,19.09034,70.67799,12.2,334.2,335,SYN-TANKER-ALPHA,IMO9000001,80,0,328,22,True
419000101,2025-03-13T19:39:00,19.10001,70.67318,11.9,337.1,335,SYN-TANKER-ALPHA,IMO9000001,80,0,297,27,True
419000101,2025-03-13T19:42:00,19.10828,70.66869,12.3,334.7,335,SYN-TANKER-ALPHA,IMO9000001,80,0,121,38,True
